,State,Deaths
1335,Michigan,1
1336,Michigan,73
1337,Michigan,11
1338,Michigan,1
1339,Michigan,29
1340,Michigan,5
1341,Michigan,0
1342,Michigan,70
1343,Michigan,1
1344,Michigan,1196
1345,Michigan,6
1346,Michigan,5
1347,Michigan,0
1348,Michigan,0
1349,Michigan,1
1350,Michigan,11
1351,Michigan,66
1352,Michigan,3
1353,Michigan,1
1354,Michigan,4
1355,Michigan,139
1356,Michigan,7
1357,Michigan,0
1358,Michigan,31
1359,Michigan,55
1360,Michigan,11
1361,Michigan,31
1362,Michigan,0
1363,Michigan,17
1364,Michigan,115
1365,Michigan,2968
1366,Michigan,4
1367,Minnesota,1
1368,Minnesota,132
1369,Minnesota,2
1370,Minnesota,5
1371,Minnesota,3
1372,Minnesota,0
1373,Minnesota,6
1374,Minnesota,2
1375,Minnesota,1
1376,Minnesota,7
1377,Minnesota,3
1378,Minnesota,1
1379,Minnesota,1
1380,Minnesota,40
1381,Minnesota,0
1382,Minnesota,0
1383,Minnesota,0
1384,Minnesota,18
1385,Minnesota,125
1386,Minnesota,0
1387,Minnesota,2
1388,Minnesota,0
1389,Minnesota,0
1390,Minnesota,3
1391,Minnesota,9
1392,Minnesota,4
1393,Minnesota,926
1394,Minnesota,0
1395,Minnesota,1
1396,Minnesota,0
1397,Minnesota,14
1398,Minnesota,1
1399,Minnesota,8
1400,Minnesota,2
1401,Minnesota,0
1402,Minnesota,3
1403,Minnesota,1
1404,Minnesota,0
1405,Minnesota,1
1406,Minnesota,4
1407,Minnesota,0
1408,Minnesota,4
1409,Minnesota,1
1410,Minnesota,1
1411,Minnesota,10
1412,Minnesota,2
1413,Minnesota,2
1414,Minnesota,3
1415,Minnesota,1
1416,Minnesota,5
1417,Minnesota,2
1418,Minnesota,16
1419,Minnesota,16
1420,Minnesota,0
1421,Minnesota,27
1422,Minnesota,4
1423,Minnesota,0
1424,Minnesota,1
1425,Minnesota,0
1426,Minnesota,10
1427,Minnesota,4
1428,Minnesota,0
1429,Minnesota,318
1430,Minnesota,1
1431,Minnesota,1
1432,Minnesota,7
1433,Minnesota,8
1434,Minnesota,0
1435,Minnesota,0
1436,Minnesota,33
1437,Minnesota,14
1438,Minnesota,3
1439,Minnesota,38
1440,Minnesota,24
1441,Minnesota,2
1442,Minnesota,1
1443,Minnesota,1
1444,Minnesota,2
1445,Minnesota,0
1446,Minnesota,52
1447,Minnesota,0
1448,Minnesota,0
1449,Minnesota,8
1450,Minnesota,55
1451,Minnesota,4
1452,Minnesota,3
1453,Minnesota,18
1454,Minnesota,7
1455,Minnesota,2
1456,Mississippi,37
1457,Mississippi,11
1458,Mississippi,10
1459,Mississippi,25
1460,Mississippi,2
1461,Mississippi,66
1462,Mississippi,12
1463,Mississippi,12
1464,Mississippi,24
1465,Mississippi,6
1466,Mississippi,16
1467,Mississippi,45
1468,Mississippi,18
1469,Mississippi,28
1470,Mississippi,33
1471,Mississippi,22
1472,Mississippi,59
1473,Mississippi,71
1474,Mississippi,3
1475,Mississippi,13
